entity_delpher,n_delpher,lon,lat,dataset
frankrijk,1013,2.213749,46.227638,delpher
parijs,883,2.3522219,48.856614,delpher
amsterdam,697,4.9041389,52.3675734,delpher
brussel,107,4.3571696,50.8476424,delpher
utrecht,106,5.1214201,52.0907374,delpher
londen,97,-0.1275862,51.5072178,delpher
berlijn,41,13.404954,52.5200066,delpher
rotterdam,40,4.4777325,51.9244201,delpher
nederland,36,-105.5108312,39.9613759,delpher
engeland,29,-1.1743197,52.3555177,delpher
zwolle,16,6.0830219,52.5167747,delpher
rome,10,12.4963655,41.9027835,delpher
rijn,9,7.87939496675554,49.3464499555117,delpher
athene,9,-93.8124237,41.5581728,delpher
china,7,104.195397,35.86166,delpher
amstebdam,6,4.9041389,52.3675734,delpher
oostenrijk,6,14.550072,47.516231,delpher
keulen,6,6.9602786,50.937531,delpher
zuid-amerika,5,-55.491477,-8.783195,delpher
antwerpen,3,4.4051485,51.2213404,delpher
madrid,3,-3.7037902,40.4167754,delpher
warschau,3,21.0122287,52.2296756,delpher
hongarije,3,19.503304,47.162494,delpher
petersburg,2,-77.4019267,37.2279279,delpher
maastricht,2,5.6909725,50.8513682,delpher
rusland,2,105.318756,61.52401,delpher
aken,2,12.0430815,51.8539201,delpher
luyben,1,-118.1318293,33.8432804,delpher
amstrrdam,1,4.9041389,52.3675734,delpher
eindhoven,1,5.4622897,51.4231423,delpher
rijks,1,4.8843119,52.3596047,delpher
kiesdistricten,1,-84.2700179,37.8393332,delpher
spanje,1,-3.74922,40.463667,delpher
hellendoorn,1,6.4542947,52.3870446,delpher
noord-amerika,1,-105.2551187,54.5259614,delpher
kassel,1,9.4797461,51.3127114,delpher
middelburg,1,3.610998,51.4987962,delpher
faankrijk,1,2.213749,46.227638,delpher
lombardije,1,9.8452433,45.4790671,delpher
messina,1,15.5542057,38.1937335,delpher
mexico,1,-102.552784,23.634501,delpher
friesland,1,5.7817542,53.1641642,delpher
hamburg,1,9.9936818,53.5510846,delpher
luxemburg,1,6.129583,49.815273,delpher
livorno_26,1,10.3105674,43.548473,delpher
nikolaas,1,2.8649892,51.0335638,delpher
