edition,issue,volume,date-pub,title,ocr,id
,23295,,"May 2, 1859",The Revolution In Tuscany.,87.36,0FFO-1859-MAY02-010-004
,23296,,"May 3, 1859",The Revolution In Tuscany.,81.16,0FFO-1859-MAY03-012-007
,20998,,"December 30, 1851",The Hungarian Revolution.,82.89,0FFO-1851-DEC30-005-004
,19804,,"March 7, 1848",The Revolution In France.,81.76,0FFO-1848-MAR07-005-001
,20985,,"December 15, 1851",The Revolution In France.,82.42,0FFO-1851-DEC15-006-004
,23698,,"August 14, 1860",The Revolution In Sicily.,89.15,0FFO-1860-AUG14-003-001
,19803,,"March 6, 1848",The Revolution In France,81.91,0FFO-1848-MAR06-005-003
,20982,,"December 11, 1851",The Revolution In France.,80.88,0FFO-1851-DEC11-004-006
,22906,,"February 2, 1858",The Gratitude Of Refugees.,86.72,0FFO-1858-FEB02-012-008
,20994,,"December 25, 1851",The Revolution In France.,80.29,0FFO-1851-DEC25-005-001
,19951,,"August 25, 1848",Alleged Revolution In Russia.,81.3,0FFO-1848-AUG25-008-001
,20984,,"December 13, 1851",The Revolution In France.,80.5,0FFO-1851-DEC13-004-006
,20981,,"December 10, 1851",The Revolution In France.,82.2,0FFO-1851-DEC10-004-009
,20980,,"December 9, 1851",The Revolution In France.,83.77,0FFO-1851-DEC09-004-010
,23293,,"April 29, 1859",The Revolution In Italy.,89.82,0FFO-1859-APR29-012-001
,19807,,"March 10, 1848",The French Revolution has now passed through,80.16,0FFO-1848-MAR10-004-004
,17506,,"November 4, 1840",Alison's History Of Europe During The French Revolution.,81.64,0FFO-1840-NOV04-003-001
,18411,,"September 26, 1843",The Belgian Revolution.,87.53,0FFO-1843-SEP26-005-014
,20991,,"December 22, 1851",The Revolution In France.,80.71,0FFO-1851-DEC22-004-008
,18432,,"October 20, 1843",The Revolution In Greece.,89.17,0FFO-1843-OCT20-003-009
,22738,,"July 21, 1857",Mr. S. G. Osborne And Industrial Schools.,80.68,0FFO-1857-JUL21-005-002
,19802,,"March 4, 1848",The greater portion of the following intelligence,87.16,0FFO-1848-MAR04-005-007
,19803,,"March 6, 1848",The Revolution In France.,83.63,0FFO-1848-MAR06-004-009
,21631,,"January 6, 1854",The Hardwicke Industrial Schools.,88.61,0FFO-1854-JAN06-009-006
,19801,,"March 3, 1848",The Revolution In France.,80.98,0FFO-1848-MAR03-005-004
,19956,,"August 31, 1848",The French revolution was concerted and exe-,90.85,0FFO-1848-AUG31-005-004
,18740,,"October 12, 1844",The Revolution In Peru.,82.05,0FFO-1844-OCT12-005-002
,21130,,"June 1, 1852",Prussia. Opening Of The Silesian Industrial Exhibition.,89.82,0FFO-1852-JUN01-006-002
,22463,,"September 3, 1856",De Tocqueville's France Before The Revolution Of 1789.*,81.03,0FFO-1856-SEP03-005-002
,20749,,"March 14, 1851",Anniversary Of The German Revolution.,85.79,0FFO-1851-MAR14-006-004
,21135,,"June 7, 1852","West India, Mexican, And Pacific Mails.",86.79,0FFO-1852-JUN07-005-003
,18277,,"April 22, 1843",Revolution In St. Domingo.,81.67,0FFO-1843-APR22-004-008
,19783,,"February 11, 1848",The revolution which has just taken place in,92.71,0FFO-1848-FEB11-005-003
,18849,,"February 17, 1845",REVOLUTION AT ICHIBOE.-Strange as such a fact,88.89,0FFO-1845-FEB17-007-001
,22734,,"July 16, 1857",Industrial Education.,84.33,0FFO-1857-JUL16-010-003
,18392,,"September 4, 1843",The Revolution In Spain.,85.63,0FFO-1843-SEP04-005-005
,22236,,"December 13, 1855",British Industrial Art.,86.6,0FFO-1855-DEC13-012-002
,19193,,"March 25, 1846","The """"revolution"""" gets on very heavily. The most",91.29,0FFO-1846-MAR25-004-004
,19829,,"April 5, 1848",The Revolution In Italy.,84.9,0FFO-1848-APR05-006-002
,17430,,"August 7, 1840",Attempted Revolution In France.,80.57,0FFO-1840-AUG07-005-006
,18285,,"May 2, 1843","The fuller accounts of the late revolution in Hayti,",89.96,0FFO-1843-MAY02-004-003
,18386,,"August 28, 1843",The Revolution In Spain.,87.36,0FFO-1843-AUG28-005-008
,19827,,"April 3, 1848",The Revolution In Milan.,88.22,0FFO-1848-APR03-002-005
,20358,,"December 13, 1849","A revolution has just taken place in Paris, which",90.91,0FFO-1849-DEC13-004-003
,23703,,"August 20, 1860",Industrial Schools Amendment Act.,80.98,0FFO-1860-AUG20-007-007
,19719,,"November 29, 1847",Flanders And Ireland-A Parallel.,82.36,0FFO-1847-NOV29-005-011
,19381,,"October 30, 1846",The Revolution In Portugal.,87.95,0FFO-1846-OCT30-005-006
,20232,,"July 19, 1849",The Birmingham Free Industrial Schools.-,85,0FFO-1849-JUL19-005-002
,20080,,"January 23, 1849",At no time since the revolution of February has,90.94,0FFO-1849-JAN23-004-004
,23542,,"February 14, 1860",There is no writer to whom the cause of com-,88.72,0FFO-1860-FEB14-009-001
,17777,,"September 16, 1841",Mr. Alison's History Of Europe During The French Revolution.,84.12,0FFO-1841-SEP16-006-003
,19183,,"March 13, 1846",The Revolution In Mexico.,86.91,0FFO-1846-MAR13-003-001
,20793,,"May 5, 1851",The Revolution In Portugal.,83.44,0FFO-1851-MAY05-008-001
,19838,,"April 10, 1848",The French revolution has very naturally elicited,91.61,0FFO-1848-APR10-004-003
,19810,,"March 14, 1848","London, Tuesday, March 14, 1848.",82.99,0FFO-1848-MAR14-004-002
,22353,,"April 28, 1856",The Moon Controversy.,81.53,0FFO-1856-APR28-010-005
,23700,,"August 16, 1860",The tide of revolution has hitherto swept over,87.07,0FFO-1860-AUG16-008-003
,20958,,"November 13, 1851","The subject of industrial education, discussed",91.9,0FFO-1851-NOV13-004-003
,20777,,"April 16, 1851",An American View Of English Politics.,82.81,0FFO-1851-APR16-008-009
,23631,,"May 28, 1860",The Sicilian Revolution.,86.12,0FFO-1860-MAY28-012-001
,22899,,"January 25, 1858",The Belgian Revolution.,82.76,0FFO-1858-JAN25-008-012
,22309,,"March 7, 1856",At the time when the great revolution in this,88.91,0FFO-1856-MAR07-007-001
